file_path,label,frames,created_at
bike\BIKE\BIKE_20260808_095240_903937.npy,BIKE,30,20260808_095240_903937
bike\BIKE\BIKE_20260808_095242_426747.npy,BIKE,30,20260808_095242_426747
bike\BIKE\BIKE_20260808_095243_965265.npy,BIKE,30,20260808_095243_965265
bike\BIKE\BIKE_20260808_095245_603095.npy,BIKE,30,20260808_095245_603095
bike\BIKE\BIKE_20260808_095247_229292.npy,BIKE,30,20260808_095247_229292
bike\BIKE\BIKE_20260808_095249_108977.npy,BIKE,30,20260808_095249_108977
bike\BIKE\BIKE_20260808_095250_579333.npy,BIKE,30,20260808_095250_579333
bike\BIKE\BIKE_20260808_095252_383577.npy,BIKE,30,20260808_095252_383577
bike\BIKE\BIKE_20260808_095254_071070.npy,BIKE,30,20260808_095254_071070
bike\BIKE\BIKE_20260808_095255_653457.npy,BIKE,30,20260808_095255_653457
