file_path,label,frames,created_at
drink\DRINK\DRINK_20260808_093921_016913.npy,DRINK,30,20260808_093921_016913
drink\DRINK\DRINK_20260808_093922_926535.npy,DRINK,30,20260808_093922_926535
drink\DRINK\DRINK_20260808_093931_976725.npy,DRINK,30,20260808_093931_976725
drink\DRINK\DRINK_20260808_093940_277184.npy,DRINK,30,20260808_093940_277184
drink\DRINK\DRINK_20260808_093942_093884.npy,DRINK,30,20260808_093942_093884
drink\DRINK\DRINK_20260808_093954_892230.npy,DRINK,30,20260808_093954_892230
drink\DRINK\DRINK_20260808_093956_638279.npy,DRINK,30,20260808_093956_638279
drink\DRINK\DRINK_20260808_094002_444377.npy,DRINK,30,20260808_094002_444377
drink\DRINK\DRINK_20260808_094006_989123.npy,DRINK,30,20260808_094006_989123
drink\DRINK\DRINK_20260808_094012_983561.npy,DRINK,30,20260808_094012_983561
