file_path,label,frames,created_at
drive\DRIVE\DRIVE_20260808_095045_982111.npy,DRIVE,30,20260808_095045_982111
drive\DRIVE\DRIVE_20260808_095058_647168.npy,DRIVE,30,20260808_095058_647168
drive\DRIVE\DRIVE_20260808_095100_566346.npy,DRIVE,30,20260808_095100_566346
drive\DRIVE\DRIVE_20260808_095102_375126.npy,DRIVE,30,20260808_095102_375126
drive\DRIVE\DRIVE_20260808_095104_350830.npy,DRIVE,30,20260808_095104_350830
drive\DRIVE\DRIVE_20260808_095106_242294.npy,DRIVE,30,20260808_095106_242294
drive\DRIVE\DRIVE_20260808_095111_077434.npy,DRIVE,30,20260808_095111_077434
drive\DRIVE\DRIVE_20260808_095113_074088.npy,DRIVE,30,20260808_095113_074088
drive\DRIVE\DRIVE_20260808_095115_283733.npy,DRIVE,30,20260808_095115_283733
drive\DRIVE\DRIVE_20260808_095116_849881.npy,DRIVE,30,20260808_095116_849881
drive\DRIVE\DRIVE_20260808_095119_708195.npy,DRIVE,30,20260808_095119_708195
drive\DRIVE\DRIVE_20260808_095126_767534.npy,DRIVE,30,20260808_095126_767534
drive\DRIVE\DRIVE_20260808_095128_668939.npy,DRIVE,30,20260808_095128_668939
